doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission,audience,category,language
about-change-of-mind-returns,data/shopee-returns/about-change-of-mind-returns.md,"Những điều cần biết về Trả hàng do ""Đổi ý/không còn nhu cầu""",https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng-do-%22%C4%90%E1%BB%95i-%C3%BD%2Fkh%C3%B4ng-c%C3%B2n-nhu-c%E1%BA%A7u%22?previousPage=secondary%20category,2026-09-20,not-stated,public-source,buyer,returns-policy,vi
general-returns-policy,data/shopee-returns/general-returns-policy.md,"[Trả hàng/Hoàn tiền] Những quy định chung về Trả hàng/Hoàn tiền của Shopee",https://help.shopee.vn/portal/4/article/188931-[Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n]-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee?previousPage=secondary%20category,2026-09-20,not-stated,public-source,buyer,returns-policy,vi
restricted-return-items,data/shopee-returns/restricted-return-items.md,"[Trả hàng/ Hoàn tiền] Sản phẩm hạn chế trả hàng là gì?",https://help.shopee.vn/portal/4/article/79465-[Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n]-S%E1%BA%A3n-ph%E1%BA%A9m-h%E1%BA%A1n-ch%E1%BA%BF-tr%E1%BA%A3-h%C3%A0ng-l%C3%A0-g%C3%AC?previousPage=secondary%20category,2026-09-20,not-stated,public-source,buyer,returns-policy,vi
shopee-chinh-sach-bao-hanh,data/shopee-returns/shopee-chinh-sach-bao-hanh.md,Chính sách bảo hành sản phẩm của Shopee,https://help.shopee.vn/portal/4/article/79046-[Quy-%C4%91%E1%BB%8Bnh]-Ch%C3%ADnh-s%C3%A1ch-b%E1%BA%A3o-h%C3%A0nh-cho-s%E1%BA%A3n-ph%E1%BA%A9m-mua-t%E1%BA%A1i-Shopee,2026-09-20,not-stated,public-source,buyer,warranty-policy,vi
shopee-chinh-sach-dong-kiem,data/shopee-returns/shopee-chinh-sach-dong-kiem.md,Quy định và hướng dẫn Đồng kiểm khi nhận hàng,https://banhang.shopee.vn/edu/article/18454,2026-09-20,30-07-2025,public-source,both,shipping-policy,vi
shopee-chinh-sach-hang-cam-va-hang-gia,data/shopee-returns/shopee-chinh-sach-hang-cam-va-hang-gia.md,Quy định về Hàng Giả/Nhái trên Shopee,https://banhang.shopee.vn/edu/article/1858,2026-09-20,09-09-2026,public-source,seller,compliance-policy,vi
shopee-he-thong-sao-qua-ta,data/shopee-returns/shopee-he-thong-sao-qua-ta.md,Quy định về Hệ thống điểm phạt Sao Quả Tạ cho Người bán,https://banhang.shopee.vn/edu/article/2433,2026-09-20,11-06-2024,public-source,seller,seller-penalty,vi
shopee-quy-dinh-xu-ly-khieu-nai-nguoi-ban,data/shopee-returns/shopee-quy-dinh-xu-ly-khieu-nai-nguoi-ban.md,Hướng dẫn Người bán khiếu nại yêu cầu Trả hàng/Hoàn tiền của Shopee,https://banhang.shopee.vn/edu/article/3647,2026-09-20,03-11-2025,public-source,seller,seller-policy,vi
shopee-returns-policy,data/shopee-returns/shopee-returns-policy.md,Chính sách Trả hàng và Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,public-source,both,returns-policy,vi
shopee-returns-policy-for-buyer,data/shopee-returns/shopee-returns-policy-for-buyer.md,Những quy định chung về Trả hàng/Hoàn tiền của Shopee cho Người mua,https://help.shopee.vn/portal/4/article/79256,2026-09-20,24-11-2025,public-source,buyer,returns-policy-for-buyer,vi
